sku,name,description,brand,available,currency,price,updated_at,image,url,product_raw
00104291,LACK,"Coffee table, black-brown, 118x78 cm",IKEA,True,SEK,499.0,2026-03-23,https://www.ikea.com/se/en/images/products/lack-coffee-table-black-brown__0836233_pe601379_s5.jpg?f=xxs,https://www.ikea.com/se/en/p/lack-coffee-table-black-brown-00104291/,
30578556,SONHULT,"Nest of tables, set of 2, grey/walnut effect",IKEA,True,SEK,599.0,2026-03-23,https://www.ikea.com/se/en/images/products/sonhult-nest-of-tables-set-of-2-grey-walnut-effect__1344318_pe949823_s5.jpg?f=xxs,https://www.ikea.com/se/en/p/sonhult-nest-of-tables-set-of-2-grey-walnut-effect-30578556/,
30514791,LACK,"Side table, white, 35x35 cm",IKEA,True,SEK,99.0,2026-03-23,https://www.ikea.com/se/en/images/products/lack-side-table-white__1063542_ph181543_s5.jpg?f=xxs,https://www.ikea.com/se/en/p/lack-side-table-white-30514791/,
40534152,ÖSTAVALL,"Adjustable coffee table, black, 90 cm",IKEA,True,SEK,1395.0,2026-03-23,https://www.ikea.com/se/en/images/products/oestavall-adjustable-coffee-table-black__1486001_pe1002252_s5.jpg?f=xxs,https://www.ikea.com/se/en/p/oestavall-adjustable-coffee-table-black-40534152/,
20586552,STOCKHOLM 2025,"Coffee table, oak veneer glass",IKEA,True,SEK,2495.0,2026-03-23,https://www.ikea.com/se/en/images/products/stockholm-2025-coffee-table-oak-veneer-glass__1424982_ph203250_s5.jpg?f=xxs,https://www.ikea.com/se/en/p/stockholm-2025-coffee-table-oak-veneer-glass-20586552/,
20487873,IDANÄS,"Coffee table, white, 107x55 cm",IKEA,True,SEK,2495.0,2026-03-23,https://www.ikea.com/se/en/images/products/idanaes-coffee-table-white__1161067_pe889275_s5.jpg?f=xxs,https://www.ikea.com/se/en/p/idanaes-coffee-table-white-20487873/,
20538721,HOLMERUD,"Side table, dark brown, 80x31 cm",IKEA,True,SEK,599.0,2026-03-23,https://www.ikea.com/se/en/images/products/holmerud-side-table-dark-brown__1246977_pe922425_s5.jpg?f=xxs,https://www.ikea.com/se/en/p/holmerud-side-table-dark-brown-20538721/,
50590406,TORSJÖ,"Coffee table, gold effect/glass, 88 cm",IKEA,True,SEK,995.0,2026-03-23,https://www.ikea.com/se/en/images/products/torsjoe-coffee-table-gold-effect-glass__1362928_pe955366_s5.jpg?f=xxs,https://www.ikea.com/se/en/p/torsjoe-coffee-table-gold-effect-glass-50590406/,
90562246,LISTERBY,"Coffee table, dark brown beech veneer, 140x60 cm",IKEA,True,SEK,1995.0,2026-03-23,https://www.ikea.com/se/en/images/products/listerby-coffee-table-dark-brown-beech-veneer__1170193_pe892710_s5.jpg?f=xxs,https://www.ikea.com/se/en/p/listerby-coffee-table-dark-brown-beech-veneer-90562246/,
10239713,STOCKHOLM,"Nest of tables, set of 2, walnut veneer",IKEA,True,SEK,2295.0,2026-03-23,https://www.ikea.com/se/en/images/products/stockholm-nest-of-tables-set-of-2-walnut-veneer__0212223_pe362779_s5.jpg?f=xxs,https://www.ikea.com/se/en/p/stockholm-nest-of-tables-set-of-2-walnut-veneer-10239713/,
10587712,GUTTANE,"Coffee table, oak, 116x39 cm",IKEA,True,SEK,1795.0,2026-03-23,https://www.ikea.com/se/en/images/products/guttane-coffee-table-oak__1392298_ph201020_s5.jpg?f=xxs,https://www.ikea.com/se/en/p/guttane-coffee-table-oak-10587712/,
70389356,BORGEBY,"Coffee table, birch veneer, 70 cm",IKEA,True,SEK,1295.0,2026-03-23,https://www.ikea.com/se/en/images/products/borgeby-coffee-table-birch-veneer__0949801_pe800020_s5.jpg?f=xxs,https://www.ikea.com/se/en/p/borgeby-coffee-table-birch-veneer-70389356/,
50586555,STOCKHOLM 2025,"Coffee table, oak veneer dark brown",IKEA,True,SEK,1795.0,2026-03-23,https://www.ikea.com/se/en/images/products/stockholm-2025-coffee-table-oak-veneer-dark-brown__1424959_ph203297_s5.jpg?f=xxs,https://www.ikea.com/se/en/p/stockholm-2025-coffee-table-oak-veneer-dark-brown-50586555/,
50411990,GLADOM,"Tray table, black, 45x53 cm",IKEA,True,SEK,149.0,2026-03-23,https://www.ikea.com/se/en/images/products/gladom-tray-table-black__0837072_pe664992_s5.jpg?f=xxs,https://www.ikea.com/se/en/p/gladom-tray-table-black-50411990/,
20530065,VITTERYD,"Adjustable coffee table, white, 97 cm",IKEA,True,SEK,1595.0,2026-03-23,https://www.ikea.com/se/en/images/products/vitteryd-adjustable-coffee-table-white__1485992_pe1002250_s5.jpg?f=xxs,https://www.ikea.com/se/en/p/vitteryd-adjustable-coffee-table-white-20530065/,
80215332,VITTSJÖ,"Nest of tables, set of 2, black-brown/glass, 90x50 cm",IKEA,True,SEK,799.0,2026-03-23,https://www.ikea.com/se/en/images/products/vittsjoe-nest-of-tables-set-of-2-black-brown-glass__1438193_pe984637_s5.jpg?f=xxs,https://www.ikea.com/se/en/p/vittsjoe-nest-of-tables-set-of-2-black-brown-glass-80215332/,
70489308,TONSTAD,"Coffee table, brown stained oak veneer, 84x82 cm",IKEA,True,SEK,1995.0,2026-03-23,https://www.ikea.com/se/en/images/products/tonstad-coffee-table-brown-stained-oak-veneer__1362488_pe955251_s5.jpg?f=xxs,https://www.ikea.com/se/en/p/tonstad-coffee-table-brown-stained-oak-veneer-70489308/,
80213074,MICKE,"Desk, white, 105x50 cm",IKEA,True,SEK,995.0,2026-03-23,https://www.ikea.com/se/en/images/products/micke-desk-white__0851508_pe565256_s5.jpg?f=xxs,https://www.ikea.com/se/en/p/micke-desk-white-80213074/,
s99431982,LAGKAPTEN / ALEX,"Desk, white, 140x60 cm",IKEA,True,SEK,1943.0,2026-03-23,https://www.ikea.com/se/en/images/products/lagkapten-alex-desk-white__1449220_pe989810_s5.jpg?f=xxs,https://www.ikea.com/se/en/p/lagkapten-alex-desk-white-s99431982/,
30213076,MICKE,"Desk, white, 73x50 cm",IKEA,True,SEK,699.0,2026-03-23,https://www.ikea.com/se/en/images/products/micke-desk-white__0921905_pe787996_s5.jpg?f=xxs,https://www.ikea.com/se/en/p/micke-desk-white-30213076/,
s29932181,LINNMON / ADILS,"Table, white, 100x60 cm",IKEA,True,SEK,395.0,2026-03-23,https://www.ikea.com/se/en/images/products/linnmon-adils-table-white__1369094_pe958025_s5.jpg?f=xxs,https://www.ikea.com/se/en/p/linnmon-adils-table-white-s29932181/,
10203610,MALM,"Dressing table, white, 120x41 cm",IKEA,True,SEK,1495.0,2026-03-23,https://www.ikea.com/se/en/images/products/malm-dressing-table-white__1154625_pe886239_s5.jpg?f=xxs,https://www.ikea.com/se/en/p/malm-dressing-table-white-10203610/,
s49513956,MITTZON,"Desk, walnut veneer/black, 160x80 cm",IKEA,True,SEK,2745.0,2026-03-23,https://www.ikea.com/se/en/images/products/mittzon-desk-walnut-veneer-black__1274537_pe930366_s5.jpg?f=xxs,https://www.ikea.com/se/en/p/mittzon-desk-walnut-veneer-black-s49513956/,
s09903014,MICKE,"Desk, white, 105x50 cm",IKEA,True,SEK,1445.0,2026-03-23,https://www.ikea.com/se/en/images/products/micke-desk-white__0851708_pe602581_s5.jpg?f=xxs,https://www.ikea.com/se/en/p/micke-desk-white-s09903014/,
s49431927,LAGKAPTEN / ALEX,"Desk, white, 140x60 cm",IKEA,True,SEK,1244.0,2026-03-23,https://www.ikea.com/se/en/images/products/lagkapten-alex-desk-white__1449206_pe989817_s5.jpg?f=xxs,https://www.ikea.com/se/en/p/lagkapten-alex-desk-white-s49431927/,
00473546,ALEX,"Drawer unit, white, 36x70 cm",IKEA,True,SEK,799.0,2026-03-23,https://www.ikea.com/se/en/images/products/alex-drawer-unit-white__1426357_pe979761_s5.jpg?f=xxs,https://www.ikea.com/se/en/p/alex-drawer-unit-white-00473546/,
90214308,MICKE,"Desk, white, 142x50 cm",IKEA,True,SEK,995.0,2026-03-23,https://www.ikea.com/se/en/images/products/micke-desk-white__0798274_ph165491_s5.jpg?f=xxs,https://www.ikea.com/se/en/p/micke-desk-white-90214308/,
90493955,TORALD,"Desk, white, 65x40 cm",IKEA,True,SEK,349.0,2026-03-23,https://www.ikea.com/se/en/images/products/torald-desk-white__1073186_pe855653_s5.jpg?f=xxs,https://www.ikea.com/se/en/p/torald-desk-white-90493955/,
60538205,TONSTAD,"Desk, oak veneer, 120x47 cm",IKEA,True,SEK,1995.0,2026-03-23,https://www.ikea.com/se/en/images/products/tonstad-desk-oak-veneer__1319690_pe940967_s5.jpg?f=xxs,https://www.ikea.com/se/en/p/tonstad-desk-oak-veneer-60538205/,
s69416817,LAGKAPTEN / ALEX,"Desk, white, 120x60 cm",IKEA,True,SEK,1194.0,2026-03-23,https://www.ikea.com/se/en/images/products/lagkapten-alex-desk-white__1449208_pe989819_s5.jpg?f=xxs,https://www.ikea.com/se/en/p/lagkapten-alex-desk-white-s69416817/,
30538198,TONSTAD,"Desk, oak veneer, 140x75 cm",IKEA,True,SEK,2495.0,2026-03-23,https://www.ikea.com/se/en/images/products/tonstad-desk-oak-veneer__1319554_pe941590_s5.jpg?f=xxs,https://www.ikea.com/se/en/p/tonstad-desk-oak-veneer-30538198/,
30582445,KALLAX,"Desk, white, 111x39 cm",IKEA,True,SEK,699.0,2026-03-23,https://www.ikea.com/se/en/images/products/kallax-desk-white__1328014_pe944614_s5.jpg?f=xxs,https://www.ikea.com/se/en/p/kallax-desk-white-30582445/,
30553240,MULLSJÖ,"Desk, oak veneer, 135x70 cm",IKEA,True,SEK,1795.0,2026-03-23,https://www.ikea.com/se/en/images/products/mullsjoe-desk-oak-veneer__1433618_pe983302_s5.jpg?f=xxs,https://www.ikea.com/se/en/p/mullsjoe-desk-oak-veneer-30553240/,
10473555,ALEX,"Desk, white, 100x48 cm",IKEA,True,SEK,1295.0,2026-03-23,https://www.ikea.com/se/en/images/products/alex-desk-white__1415764_pe975386_s5.jpg?f=xxs,https://www.ikea.com/se/en/p/alex-desk-white-10473555/,
30460830,LAGKAPTEN,"Table top, white stained oak effect, 200x60 cm",IKEA,True,SEK,495.0,2026-03-23,https://www.ikea.com/se/en/images/products/lagkapten-table-top-white-stained-oak-effect__1159025_pe888277_s5.jpg?f=xxs,https://www.ikea.com/se/en/p/lagkapten-table-top-white-stained-oak-effect-30460830/,
s09521604,LAGKAPTEN / ALEX,"Desk, white, 140x60 cm",IKEA,True,SEK,1743.0,2026-03-23,https://www.ikea.com/se/en/images/products/lagkapten-alex-desk-white__1215747_pe912158_s5.jpg?f=xxs,https://www.ikea.com/se/en/p/lagkapten-alex-desk-white-s09521604/,
40586400,UTVISNING,"Gaming desk with shelf, black, 120x60 cm",IKEA,True,SEK,1495.0,2026-03-23,https://www.ikea.com/se/en/images/products/utvisning-gaming-desk-with-shelf-black__1368679_pe957855_s5.jpg?f=xxs,https://www.ikea.com/se/en/p/utvisning-gaming-desk-with-shelf-black-40586400/,
s59417153,LAGKAPTEN / ADILS,"Desk, white, 140x60 cm",IKEA,True,SEK,545.0,2026-03-23,https://www.ikea.com/se/en/images/products/lagkapten-adils-desk-white__1028383_pe835319_s5.jpg?f=xxs,https://www.ikea.com/se/en/p/lagkapten-adils-desk-white-s59417153/,
s19521707,LAGKAPTEN / ALEX,"Desk, white stained/oak effect white, 200x60 cm",IKEA,True,SEK,1943.0,2026-03-23,https://www.ikea.com/se/en/images/products/lagkapten-alex-desk-white-stained-oak-effect-white__1215978_pe912302_s5.jpg?f=xxs,https://www.ikea.com/se/en/p/lagkapten-alex-desk-white-stained-oak-effect-white-s19521707/,
80507627,UTESPELARE,"Gaming desk, black, 160x80 cm",IKEA,True,SEK,1795.0,2026-03-23,https://www.ikea.com/se/en/images/products/utespelare-gaming-desk-black__0997777_pe822755_s5.jpg?f=xxs,https://www.ikea.com/se/en/p/utespelare-gaming-desk-black-80507627/,
50250713,MICKE,"Corner workstation, white, 100x142 cm",IKEA,True,SEK,1895.0,2026-03-23,https://www.ikea.com/se/en/images/products/micke-corner-workstation-white__0921924_pe788003_s5.jpg?f=xxs,https://www.ikea.com/se/en/p/micke-corner-workstation-white-50250713/,
80213074,MICKE,"Desk, white, 105x50 cm",IKEA,True,SEK,995.0,2026-03-23,https://www.ikea.com/se/en/images/products/micke-desk-white__0851508_pe565256_s5.jpg?f=xxs,https://www.ikea.com/se/en/p/micke-desk-white-80213074/,
s99431982,LAGKAPTEN / ALEX,"Desk, white, 140x60 cm",IKEA,True,SEK,1943.0,2026-03-23,https://www.ikea.com/se/en/images/products/lagkapten-alex-desk-white__1449220_pe989810_s5.jpg?f=xxs,https://www.ikea.com/se/en/p/lagkapten-alex-desk-white-s99431982/,
30213076,MICKE,"Desk, white, 73x50 cm",IKEA,True,SEK,699.0,2026-03-23,https://www.ikea.com/se/en/images/products/micke-desk-white__0921905_pe787996_s5.jpg?f=xxs,https://www.ikea.com/se/en/p/micke-desk-white-30213076/,
s29932181,LINNMON / ADILS,"Table, white, 100x60 cm",IKEA,True,SEK,395.0,2026-03-23,https://www.ikea.com/se/en/images/products/linnmon-adils-table-white__1369094_pe958025_s5.jpg?f=xxs,https://www.ikea.com/se/en/p/linnmon-adils-table-white-s29932181/,
10203610,MALM,"Dressing table, white, 120x41 cm",IKEA,True,SEK,1495.0,2026-03-23,https://www.ikea.com/se/en/images/products/malm-dressing-table-white__1154625_pe886239_s5.jpg?f=xxs,https://www.ikea.com/se/en/p/malm-dressing-table-white-10203610/,
s49513956,MITTZON,"Desk, walnut veneer/black, 160x80 cm",IKEA,True,SEK,2745.0,2026-03-23,https://www.ikea.com/se/en/images/products/mittzon-desk-walnut-veneer-black__1274537_pe930366_s5.jpg?f=xxs,https://www.ikea.com/se/en/p/mittzon-desk-walnut-veneer-black-s49513956/,
s09903014,MICKE,"Desk, white, 105x50 cm",IKEA,True,SEK,1445.0,2026-03-23,https://www.ikea.com/se/en/images/products/micke-desk-white__0851708_pe602581_s5.jpg?f=xxs,https://www.ikea.com/se/en/p/micke-desk-white-s09903014/,
s49431927,LAGKAPTEN / ALEX,"Desk, white, 140x60 cm",IKEA,True,SEK,1244.0,2026-03-23,https://www.ikea.com/se/en/images/products/lagkapten-alex-desk-white__1449206_pe989817_s5.jpg?f=xxs,https://www.ikea.com/se/en/p/lagkapten-alex-desk-white-s49431927/,
00473546,ALEX,"Drawer unit, white, 36x70 cm",IKEA,True,SEK,799.0,2026-03-23,https://www.ikea.com/se/en/images/products/alex-drawer-unit-white__1426357_pe979761_s5.jpg?f=xxs,https://www.ikea.com/se/en/p/alex-drawer-unit-white-00473546/,
90214308,MICKE,"Desk, white, 142x50 cm",IKEA,True,SEK,995.0,2026-03-23,https://www.ikea.com/se/en/images/products/micke-desk-white__0798274_ph165491_s5.jpg?f=xxs,https://www.ikea.com/se/en/p/micke-desk-white-90214308/,
90493955,TORALD,"Desk, white, 65x40 cm",IKEA,True,SEK,349.0,2026-03-23,https://www.ikea.com/se/en/images/products/torald-desk-white__1073186_pe855653_s5.jpg?f=xxs,https://www.ikea.com/se/en/p/torald-desk-white-90493955/,
60538205,TONSTAD,"Desk, oak veneer, 120x47 cm",IKEA,True,SEK,1995.0,2026-03-23,https://www.ikea.com/se/en/images/products/tonstad-desk-oak-veneer__1319690_pe940967_s5.jpg?f=xxs,https://www.ikea.com/se/en/p/tonstad-desk-oak-veneer-60538205/,
s69416817,LAGKAPTEN / ALEX,"Desk, white, 120x60 cm",IKEA,True,SEK,1194.0,2026-03-23,https://www.ikea.com/se/en/images/products/lagkapten-alex-desk-white__1449208_pe989819_s5.jpg?f=xxs,https://www.ikea.com/se/en/p/lagkapten-alex-desk-white-s69416817/,
30538198,TONSTAD,"Desk, oak veneer, 140x75 cm",IKEA,True,SEK,2495.0,2026-03-23,https://www.ikea.com/se/en/images/products/tonstad-desk-oak-veneer__1319554_pe941590_s5.jpg?f=xxs,https://www.ikea.com/se/en/p/tonstad-desk-oak-veneer-30538198/,
30582445,KALLAX,"Desk, white, 111x39 cm",IKEA,True,SEK,699.0,2026-03-23,https://www.ikea.com/se/en/images/products/kallax-desk-white__1328014_pe944614_s5.jpg?f=xxs,https://www.ikea.com/se/en/p/kallax-desk-white-30582445/,
30553240,MULLSJÖ,"Desk, oak veneer, 135x70 cm",IKEA,True,SEK,1795.0,2026-03-23,https://www.ikea.com/se/en/images/products/mullsjoe-desk-oak-veneer__1433618_pe983302_s5.jpg?f=xxs,https://www.ikea.com/se/en/p/mullsjoe-desk-oak-veneer-30553240/,
10473555,ALEX,"Desk, white, 100x48 cm",IKEA,True,SEK,1295.0,2026-03-23,https://www.ikea.com/se/en/images/products/alex-desk-white__1415764_pe975386_s5.jpg?f=xxs,https://www.ikea.com/se/en/p/alex-desk-white-10473555/,
30460830,LAGKAPTEN,"Table top, white stained oak effect, 200x60 cm",IKEA,True,SEK,495.0,2026-03-23,https://www.ikea.com/se/en/images/products/lagkapten-table-top-white-stained-oak-effect__1159025_pe888277_s5.jpg?f=xxs,https://www.ikea.com/se/en/p/lagkapten-table-top-white-stained-oak-effect-30460830/,
s09521604,LAGKAPTEN / ALEX,"Desk, white, 140x60 cm",IKEA,True,SEK,1743.0,2026-03-23,https://www.ikea.com/se/en/images/products/lagkapten-alex-desk-white__1215747_pe912158_s5.jpg?f=xxs,https://www.ikea.com/se/en/p/lagkapten-alex-desk-white-s09521604/,
40586400,UTVISNING,"Gaming desk with shelf, black, 120x60 cm",IKEA,True,SEK,1495.0,2026-03-23,https://www.ikea.com/se/en/images/products/utvisning-gaming-desk-with-shelf-black__1368679_pe957855_s5.jpg?f=xxs,https://www.ikea.com/se/en/p/utvisning-gaming-desk-with-shelf-black-40586400/,
s59417153,LAGKAPTEN / ADILS,"Desk, white, 140x60 cm",IKEA,True,SEK,545.0,2026-03-23,https://www.ikea.com/se/en/images/products/lagkapten-adils-desk-white__1028383_pe835319_s5.jpg?f=xxs,https://www.ikea.com/se/en/p/lagkapten-adils-desk-white-s59417153/,
s19521707,LAGKAPTEN / ALEX,"Desk, white stained/oak effect white, 200x60 cm",IKEA,True,SEK,1943.0,2026-03-23,https://www.ikea.com/se/en/images/products/lagkapten-alex-desk-white-stained-oak-effect-white__1215978_pe912302_s5.jpg?f=xxs,https://www.ikea.com/se/en/p/lagkapten-alex-desk-white-stained-oak-effect-white-s19521707/,
80507627,UTESPELARE,"Gaming desk, black, 160x80 cm",IKEA,True,SEK,1795.0,2026-03-23,https://www.ikea.com/se/en/images/products/utespelare-gaming-desk-black__0997777_pe822755_s5.jpg?f=xxs,https://www.ikea.com/se/en/p/utespelare-gaming-desk-black-80507627/,
50250713,MICKE,"Corner workstation, white, 100x142 cm",IKEA,True,SEK,1895.0,2026-03-23,https://www.ikea.com/se/en/images/products/micke-corner-workstation-white__0921924_pe788003_s5.jpg?f=xxs,https://www.ikea.com/se/en/p/micke-corner-workstation-white-50250713/,
80213074,MICKE,"Desk, white, 105x50 cm",IKEA,True,SEK,995.0,2026-03-23,https://www.ikea.com/se/en/images/products/micke-desk-white__0851508_pe565256_s5.jpg?f=xxs,https://www.ikea.com/se/en/p/micke-desk-white-80213074/,
s99431982,LAGKAPTEN / ALEX,"Desk, white, 140x60 cm",IKEA,True,SEK,1943.0,2026-03-23,https://www.ikea.com/se/en/images/products/lagkapten-alex-desk-white__1449220_pe989810_s5.jpg?f=xxs,https://www.ikea.com/se/en/p/lagkapten-alex-desk-white-s99431982/,
30213076,MICKE,"Desk, white, 73x50 cm",IKEA,True,SEK,699.0,2026-03-23,https://www.ikea.com/se/en/images/products/micke-desk-white__0921905_pe787996_s5.jpg?f=xxs,https://www.ikea.com/se/en/p/micke-desk-white-30213076/,
s29932181,LINNMON / ADILS,"Table, white, 100x60 cm",IKEA,True,SEK,395.0,2026-03-23,https://www.ikea.com/se/en/images/products/linnmon-adils-table-white__1369094_pe958025_s5.jpg?f=xxs,https://www.ikea.com/se/en/p/linnmon-adils-table-white-s29932181/,
10203610,MALM,"Dressing table, white, 120x41 cm",IKEA,True,SEK,1495.0,2026-03-23,https://www.ikea.com/se/en/images/products/malm-dressing-table-white__1154625_pe886239_s5.jpg?f=xxs,https://www.ikea.com/se/en/p/malm-dressing-table-white-10203610/,
s49513956,MITTZON,"Desk, walnut veneer/black, 160x80 cm",IKEA,True,SEK,2745.0,2026-03-23,https://www.ikea.com/se/en/images/products/mittzon-desk-walnut-veneer-black__1274537_pe930366_s5.jpg?f=xxs,https://www.ikea.com/se/en/p/mittzon-desk-walnut-veneer-black-s49513956/,
s09903014,MICKE,"Desk, white, 105x50 cm",IKEA,True,SEK,1445.0,2026-03-23,https://www.ikea.com/se/en/images/products/micke-desk-white__0851708_pe602581_s5.jpg?f=xxs,https://www.ikea.com/se/en/p/micke-desk-white-s09903014/,
